UserId,avg
1,7.92593
2,3.0
3,9.0
4,9.0
5,5.66667
7,5.5
8,7.875
9,9.0
10,7.0
11,10.0
12,9.0
13,6.5
14,8.83333
15,8.0
16,6.75
17,3.5
18,6.94737
19,8.1
20,8.8
21,9.0
22,7.625
23,1.0
24,8.0
25,6.8
26,8.0
27,8.85714
28,7.0625
29,8.0
30,6.0
31,10.0
32,9.0
33,2.0
34,6.0
35,8.25
36,8.5
37,8.0
38,5.33333
39,9.4
40,7.85714
41,10.0
42,6.75
43,7.33333
44,10.0
45,9.5
46,8.66667
47,8.5
48,9.6
49,8.66667
50,8.27273
51,6.42857
52,8.25
53,8.5
54,5.7
55,5.07692
56,6.5
57,8.66667
58,9.33333
59,6.71429
60,9.0
61,7.6
62,10.0
63,5.71429
64,9.25
65,7.8
66,9.0
67,9.33333
68,8.0
69,8.53846
70,7.85714
71,7.0
72,6.0
73,7.0
74,5.5
75,8.0
76,6.66667
77,10.0
78,10.0
79,4.66667
80,5.16667
81,7.33333
82,4.0
83,5.33333
84,8.53571
85,6.66667
86,10.0
87,7.85714
88,8.6
89,6.0
90,9.0
91,6.0
92,9.0
93,4.16667
94,6.63636
95,6.82353
96,10.0
97,10.0
98,9.5
99,6.25
100,7.0
101,9.0
102,8.5
103,5.66667
104,7.0
105,10.0
106,8.0
107,8.66667
108,8.66667
109,6.0
110,7.0
111,8.52941
112,10.0
113,4.0
114,7.75
115,10.0
116,8.14286
117,4.5
118,7.4
119,8.5
120,8.0
121,4.0
122,6.4321
123,8.66667
124,6.83333
125,6.16667
126,8.83333
127,10.0
128,8.66667
129,9.25
130,10.0
131,1.0
132,5.0
133,4.33333
134,5.5
135,5.0
136,9.5
137,7.0
138,10.0
139,10.0
140,9.0
141,6.5
142,6.28571
143,6.33333
144,10.0
145,5.0
146,10.0
147,7.33333
148,9.0
149,7.84615
150,7.5
151,7.42857
152,7.34152
153,8.25
154,9.5
155,7.5
156,7.33333
157,9.0
158,10.0
159,10.0
160,7.0
161,10.0
162,8.0
163,8.57143
164,6.66667
165,5.66667
166,3.8
167,8.33333
168,6.82609
169,10.0
170,10.0
171,5.5
172,8.33333
173,8.0
174,5.4
175,7.3125
176,8.5
177,7.33333
178,6.0
179,6.68182
180,7.85714
181,9.0
182,8.5
183,7.0
184,6.57143
185,6.83333
186,7.75
187,5.38889
188,10.0
189,5.8
190,7.0
191,7.0
192,7.33333
193,6.66667
194,5.73196
195,8.66667
196,7.75
197,6.44444
198,5.3
199,10.0
200,10.0
201,8.5
202,7.2
203,8.57143
204,8.0
205,10.0
206,8.9
207,9.66667
208,8.5
209,1.0
210,7.2
211,7.0
212,10.0
213,7.0
214,8.0
215,10.0
216,8.0
217,8.5
218,8.5
219,6.5241
220,9.5
221,7.0
222,4.4
223,7.71429
224,5.46667
225,7.375
226,6.84783
227,7.46324
228,7.57143
229,7.2
230,8.5
231,7.33333
232,7.0
233,3.16667
234,5.875
235,5.61538
236,10.0
237,4.31579
238,7.28571
